"מק""ט",שם המוצר,קטגוריה,מותג,צבע,כמות באריזה,כמות במשטח,מידות,שם באנגלית,קטגוריה באנגלית,אימוג'י,תמונה,תמונות נוספות,תמונת מפרט,תמונות מפרט
1054050,טרפלקס צינור ג׳קוזי לבן Ø50,צינורות גמישים,AQUATEC,,,,"מידה: 50 מ""מ Ø | תיאור: טרפלקס רשפיים צינור ג'קוזי לבן",Truflex White Jacuzzi Pipe Ø50mm,Flexible Pipes,🌀,1053232.jpg,,,
110681,מסעף 90° DN75 עם תבריג · כולל 3 אומים ו-3 אטמים,מסעפים וחיבורי אסלה,ליפסקי,,,,זווית: 90° | מידה: DN75 | תיאור: מסעף 90° DN75 עם תבריג · כולל 3 אומים ו-3 אטמים,Branch 90° DN75 screw-on Includes 3 nuts and 3 seals,Branches & WC Conn.,⑂,110681.jpeg,,,
110682,מסעף 90° DN50 עם תבריג · כולל 3 אומים ו-3 אטמים,מסעפים וחיבורי אסלה,ליפסקי,,,,זווית: 90° | מידה: DN50 | תיאור: מסעף 90° DN50 עם תבריג · כולל 3 אומים ו-3 אטמים,Branch 90° DN50 screw-on Includes 3 nuts and 3 seals,Branches & WC Conn.,⑂,110682.jpeg,,,
110689,מסעף 90° DN32 עם תבריג · כולל 3 אומים ו-3 אטמים,מסעפים וחיבורי אסלה,ליפסקי,,,,זווית: 90° | מידה: DN32 | תיאור: מסעף 90° DN32 עם תבריג · כולל 3 אומים ו-3 אטמים,Branch 90° DN32 screw-on Includes 3 nuts and 3 seals,Branches & WC Conn.,⑂,110689.jpeg,,,
115581,מצרות תבריג,אביזרי שקע-תקע,ליפסקי,,,,תיאור: מצרות תבריג,Threaded Reducers,Insertion Accessories,🔌,115581.jpeg,,,
116001,"צינור ש""ת DN75 אורך 200 ס""מ",צינורות,ליפסקי,,,,DN: 75 | L (cm): 200,Pipe with socket DN75 L=200cm,Pipes,📏,116001.jpeg,,,
116009,"צינור ש""ת DN40 אורך 200 ס""מ",צינורות,ליפסקי,,,,DN: 40 | L (cm): 200,Pipe with socket DN40 L=200cm,Pipes,📏,116009.jpeg,,,
116026,ברך 87° עם ביקורת גב 110 (4 פתחים),ברכיים,ליפסקי,,,,זווית: 87° | DN: 110,87° Bend with outlet DN110 (4 outlets),Bends,↩️,116026.jpeg,,,
116028,ברך 87° 160,ברכיים,ליפסקי,,,,זווית: 87° | DN: 160,87° Bend DN160,Bends,↩️,116028.jpeg,,,
116031,ברך 87° עם ביקורת גב 50,ברכיים,ליפסקי,,,,זווית: 87° | DN: 50,87° Bend with outlet DN50,Bends,↩️,116031.jpeg,,,
116033,ברך 87° 75,ברכיים,ליפסקי,,,,זווית: 87° | DN: 75,87° Bend DN75,Bends,↩️,116033.jpeg,,,
116037,ברך 45° 160,ברכיים,ליפסקי,,,,זווית: 45° | DN: 160,45° Bend DN160,Bends,↩️,116037.jpeg,,,
116049,מסעף 87° 160/110,מסעפים וחיבורי אסלה,ליפסקי,,,,זווית: 87° | DN: 160/110,87° Branch DN160/110,Branches & WC Conn.,⑂,116049.jpeg,,,
116051,מסעף 87° 160/160,מסעפים וחיבורי אסלה,ליפסקי,,,,זווית: 87° | DN: 160/160,87° Branch DN160/160,Branches & WC Conn.,⑂,116051.jpeg,,,
116054,מסעף 87° 75/75,מסעפים וחיבורי אסלה,ליפסקי,,,,זווית: 87° | DN: 75/75,87° Branch DN75/75,Branches & WC Conn.,⑂,116054.jpeg,,,
116056,מסעף 45° 110/50,מסעפים וחיבורי אסלה,ליפסקי,,,,זווית: 45° | DN: 110/50,45° Branch DN110/50,Branches & WC Conn.,⑂,116056.jpeg,,,
116058,מצרה 160/110,אביזרי שקע-תקע,ליפסקי,,,,DN: 160/110,Eccentric reducer DN160/110,Insertion Accessories,🔌,116058.jpeg,,,
116069,"צינור אפור DN40 L=300 ס""מ",צינורות,ליפסקי,,,,DN: 40 | L (cm): 300,Grey pipe DN40 L=300cm,Pipes,📏,116069.jpeg,,,
116071,"צינור אפור DN40 L=400 ס""מ",צינורות אפורות,ליפסקי,,,,DN: 40 | L (cm): 400,Grey pipe DN40 L=400cm,Pipes,📏,116071.jpeg,,,
116074,"צינור ש""ת DN50 אורך 200 ס""מ",צינורות,ליפסקי,,,,DN: 50 | L (cm): 200,Pipe with socket DN50 L=200cm,Pipes,📏,116074.jpeg,,,
116076,"צינור אפור DN50 L=300 ס""מ",צינורות,ליפסקי,,,,DN: 50 | L (cm): 300,Grey pipe DN50 L=300cm,Pipes,📏,116076.jpeg,,,
116078,"צינור אפור DN50 L=400 ס""מ",צינורות אפורות,ליפסקי,,,,DN: 50 | L (cm): 400,Grey pipe DN50 L=400cm,Pipes,📏,116078.jpeg,,,
116084,"צינור אפור DN75 L=100 ס""מ",צינורות,ליפסקי,,,,DN: 75 | L (cm): 100,Grey pipe DN75 L=100cm,Pipes,📏,116084.jpeg,,,
116091,"צינור אפור DN75 L=300 ס""מ",צינורות אפורות,ליפסקי,,,,DN: 75 | L (cm): 300,Grey pipe DN75 L=300cm,Pipes,📏,116091.jpeg,,,
116093,"צינור אפור DN75 L=400 ס""מ",צינורות אפורות,ליפסקי,,,,DN: 75 | L (cm): 400,Grey pipe DN75 L=400cm,Pipes,📏,116093.jpeg,,,
116096,"צינור אפור DN110 L=75 ס""מ",צינורות,ליפסקי,,,,DN: 110 | L (cm): 75,Grey pipe DN110 L=75cm,Pipes,📏,116096.jpeg,,,
116099,"צינור אפור DN110 L=100 ס""מ",צינורות אפורות,ליפסקי,,,,DN: 110 | L (cm): 100,Grey pipe DN110 L=100cm,Pipes,📏,116099.jpeg,,,
116101,"צינור אפור DN110 L=150 ס""מ",צינורות אפורות,ליפסקי,,,,DN: 110 | L (cm): 150,Grey pipe DN110 L=150cm,Pipes,📏,116101.jpeg,,,
116103,"צינור אפור DN110 L=300 ס""מ",צינורות אפורות,ליפסקי,,,,DN: 110 | L (cm): 300,Grey pipe DN110 L=300cm,Pipes,📏,116103.jpeg,,,
116105,"צינור אפור DN110 L=400 ס""מ",צינורות אפורות,ליפסקי,,,,DN: 110 | L (cm): 400,Grey pipe DN110 L=400cm,Pipes,📏,116105.jpeg,,,
116113,"צינור אפור DN110 L=15 ס""מ",צינורות אפורות,ליפסקי,,,,DN: 110 | L (cm): 15,Pipe with socket DN110 L=50cm,Pipes,📏,116113.jpeg,,,
116124,"מחסום (סיפון) 2"" לכיור מטבח עם כניסה למדיח כלים/מכונת כביסה (מס. 2)",מחסומים גלויים,ליפסקי,,,,"ייעוד: לכיור מטבח | מק""ט: NO.116124 | צבע: לבן | תיאור: מחסום (סיפון) 2"" לכיור מטבח עם כניסה למדיח כלים/מכונת כביסה (מס. 2)","2"" Bottle trap with dishwasher/ washing machine outlet",Visible Traps,🚰,116124.jpeg,,,
116127,"מחסום (סיפון) 2"" לכיור מטבח כפול עם כניסה למדיח כלים/מכונת כביסה (מס. 4)",מחסומים גלויים,ליפסקי,,,,"תצורה: כפול | ייעוד: לכיור מטבח | מק""ט: NO.116127 | צבע: לבן | תיאור: מחסום (סיפון) 2"" לכיור מטבח כפול עם כניסה למדיח כלים/מכונת כביסה (מס. 4)","2"" Bottle trap for double sink with dishwasher/ washing machine outlet",Visible Traps,🚰,116127.jpeg,,,
116144,"מחסום (סיפון) אמריקאי כפול 2"" + כניסה / למדיח כלים (מס. 6)",מחסומים גלויים,ליפסקי,,,,"תצורה: כפול | תיאור: מחסום (סיפון) אמריקאי כפול 2"" + כניסה / למדיח כלים (מס. 6) | צבע: לבן","1.5"" Bottle trap for double, stainless steel sink with dishwasher outlet",Visible Traps,🚰,116144.jpeg,,,
116146,מחסום קומקום סגור למקלחת 40/155,מחסומי רצפה,ליפסקי,,,,ייעוד: למקלחת | DN: 40,Floor trap with slanted outlet for shower DN40/155,Floor Traps,⬇️,116146.jpeg,,,
116148,קולט A 40/70 למקלחת,מאספי רצפה,ליפסקי,,,,"ייעוד: למקלחת | מק""ט: No.116148 | מידות: 126 / Ø100 / Ø40 / 68 / 24 | תיאור: קולט A 40/70 למקלחת",Shower trap drain A 40/70,Collectors & Drains,🕳️,116148.jpeg,,,
116151,מחסום רצפה -130/40 לא תקני (מערכת C) כניסות 40,מאספי רצפה,ליפסקי,,,,DN: 130/40,Gully trap 130/40,Collectors & Drains,🕳️,116151.jpeg,,,
116155,"צינור ש""ת DN110 אורך 200 ס""מ",צינורות,ליפסקי,,,,DN: 110 | L (cm): 200,Pipe with socket DN110 L=200cm,Pipes,📏,116155.jpeg,,,
116163,מחסום תופי-קומקום פתוח 50/175,מחסומי רצפה,ליפסקי,,,,DN: 50,Gully trap with slanted outlet DN50/175,Floor Traps,⬇️,116163.jpeg,,,
116167,מחסום תופי-קומקום פתוח 40/155,מחסומי רצפה,ליפסקי,,,,DN: 40,Gully trap with slanted outlet DN40/155,Floor Traps,⬇️,116167.jpeg,,,
116169,מחסום קומקום סגור למקלחת 50/175,מחסומי רצפה,ליפסקי,,,,ייעוד: למקלחת | DN: 50,Floor trap with slanted outlet for shower DN50/175,Floor Traps,⬇️,116169.jpeg,,,
116175,"מאסף רצפה B 110 נפילה 4""",מאספי רצפה,ליפסקי,,,,DN: 110,"Floor collector 110 with vertical outlet 4""",Collectors & Drains,🕳️,116175.jpeg,,,
116178,"אביק לאמבטיה 1.5"" עם מחסום",מחסומים גלויים,ליפסקי,,,,"מאפיין: עם מחסום | ייעוד: לאמבטיה | תיאור: אביק לאמבט 1.5"" עם מחסום | מק""ט פיה: NO.116178 | תרשים: 65, Ø70, Ø46, Ø40, 290, 220","1.5"" Bath waste and overflow with pipe trap",Visible Traps,🚰,116178.jpeg,,,
116180,צינור הכנסה אפור,צינורות אפורות,ליפסקי,,,,DN: 32 | L (cm): 400,Smooth pipe DN32 L=400cm,Pipes,📏,116180.jpeg,,,
116182,ברך 90° תבריג כפול 32/40,אביזרי תבריג,ליפסקי,,,,זווית: 90° | תצורה: כפול | DN: 32/40,Band 90° Double Screw-on DN40/40,Screw-on Accessories,🔩,116182.jpeg,,,
116186,ברך 90° תבריג צד אחד 40/40,אביזרי תבריג,ליפסקי,,,,זווית: 90° | DN: 40/40,Band 90° Single Side Screw-on DN40/40,Screw-on Accessories,🔩,116186.jpeg,,,
116191,ברך 90° תבריג צד אחד 50/50,אביזרי תבריג,ליפסקי,,,,זווית: 90° | DN: 50/50,Band 90° Single Side Screw-on DN50/50,Screw-on Accessories,🔩,116191.jpeg,,,
116194,"ברך 90° תבריג ש""ת לסיפון 32/40",אביזרי תבריג,ליפסקי,,,,זווית: 90° | DN: 32/40,Band 90° Screw-on to Siphon DN40/40,Screw-on Accessories,🔩,116194.jpeg,,,
116197,ברך 45° תבריג כפול 40/40,אביזרי תבריג,ליפסקי,,,,זווית: 45° | תצורה: כפול | DN: 40/40,Band 45° Double Screw-on DN50/40,Screw-on Accessories,🔩,116197.jpeg,,,
116199,ברך 45° תבריג כפול 32/40,אביזרי תבריג,ליפסקי,,,,זווית: 45° | תצורה: כפול | DN: 32/40,Band 45° Double Screw-on DN40/40,Screw-on Accessories,🔩,116199.jpeg,,,
116201,ברך 45° תבריג כפול 32/50,אביזרי תבריג,ליפסקי,,,,זווית: 45° | תצורה: כפול | DN: 32/50,Band 45° Double Screw-on DN50/50,Screw-on Accessories,🔩,116201.jpeg,,,
116203,ברך 45° תבריג צד אחד 40/49,אביזרי תבריג,ליפסקי,,,,זווית: 45° | DN: 40/49,Band 45° - single side screw-on,Screw-on Accessories,🔩,116203.jpeg,,,
116205,ברך 45° תבריג צד אחד 50/50,אביזרי תבריג,ליפסקי,,,,זווית: 45° | DN: 50/50,Band 45° - single side screw-on,Screw-on Accessories,🔩,116205.jpeg,,,
116207,ברך 45° תבריג צד אחד 32/32,אביזרי תבריג,ליפסקי,,,,זווית: 45° | DN: 32/32,Band 45° - single side screw-on,Screw-on Accessories,🔩,116207.jpeg,,,
116209,מחבר כפול תבריג 32/32,אביזרי תבריג,ליפסקי,,,,תצורה: כפול | DN: 32/32,Double Connector Screw-on DN32/32,Screw-on Accessories,🔩,116209.jpeg,,,
116212,מצרה תבריג 50/40,אביזרי תבריג,ליפסקי,,,,DN: 50/40,Screw-on Reducer DN50/40,Screw-on Accessories,🔩,116212.jpeg,,,
116215,מצרה תבריג 50/60,אביזרי תבריג,ליפסקי,,,,DN: 50/60,Screw-on Reducer DN50/50,Screw-on Accessories,🔩,116215.jpeg,,,
116220,מסעף 45° תבריג 50/50/50,אביזרי תבריג,ליפסקי,,,,זווית: 45° | DN: 50/50/50,Branch 45° Screw-on DN50/50/50,Screw-on Accessories,🔩,116220.jpeg,,,
116223,מסעף 45° תבריג 40/40/40,אביזרי תבריג,ליפסקי,,,,זווית: 45° | DN: 40/40/40,Branch 45° Screw-on DN40/40/40,Screw-on Accessories,🔩,116223.jpeg,,,
116225,מסעף 45° תבריג 50/50/40,אביזרי תבריג,ליפסקי,,,,זווית: 45° | DN: 50/50/40,Branch 45° Screw-on DN50/40/50,Screw-on Accessories,🔩,116225.jpeg,,,
116229,מסעף 45° צד ללא תבריג 40/40/40,אביזרי תבריג,ליפסקי,,,,זווית: 45° | DN: 40/40/40,Branch 45° No Screw-on Side DN40/40/40,Screw-on Accessories,🔩,116229.jpeg,,,
116231,מסעף 45° צד ללא תבריג 50/40/50,אביזרי תבריג,ליפסקי,,,,זווית: 45° | DN: 50/40/50,Branch 45° No Screw-on Side DN50/40/50,Screw-on Accessories,🔩,116231.jpeg,,,
116233,"משפך קומפלט 1.25""",מחסומים גלויים,ליפסקי,,,,"צבע: לבן | Ø: 32 | מידות: Ø32, 138 | תיאור: משפך קומפלט 1.25"" | מק""ט: פיה NO.116233","1.25"" Bottle trap inlet 2"" Bottle trap inlet",Visible Traps,🚰,116233.jpeg,,,
116258,מצרות תבריג,אביזרי שקע-תקע,ליפסקי,,,,תיאור: מצרות תבריג,Threaded Reducers,Insertion Accessories,🔌,116258.jpeg,,,
116553,ברך 45° 75,ברכיים,ליפסקי,,,,זווית: 45° | DN: 75,45° Bend DN75,Bends,↩️,116553.jpeg,,,
116556,מסעף 87° 110/110,מסעפים וחיבורי אסלה,ליפסקי,,,,זווית: 87° | DN: 110/110,87° Branch DN110/110,Branches & WC Conn.,⑂,116556.jpeg,,,
116558,מסעף 87° 110/50,מסעפים וחיבורי אסלה,ליפסקי,,,,זווית: 87° | DN: 110/50,Branch 110,Branches & WC Conn.,⑂,116558.jpeg,,,
116565,מסעף 45° - תבריג כפול,אביזרי תבריג,ליפסקי,,,,זווית: 45° | תצורה: כפול | סוג: כפול | תיאור: מסעף 45° - תבריג כפול,Branch 45° - Double Threaded,Screw-on Accessories,🔩,116565.jpeg,,,
116569,מסעף 87° 50/50,מסעפים וחיבורי אסלה,ליפסקי,,,,זווית: 87° | DN: 50/50,87° Branch DN50/50,Branches & WC Conn.,⑂,116569.jpeg,,,
116571,מסעף 45° 110/110,מסעפים וחיבורי אסלה,ליפסקי,,,,זווית: 45° | DN: 110/110,45° Branch DN110/110,Branches & WC Conn.,⑂,116571.jpeg,,,
116573,מסעף 45° 50/50,מסעפים וחיבורי אסלה,ליפסקי,,,,זווית: 45° | DN: 50/50,45° Branch DN50/50,Branches & WC Conn.,⑂,116573.jpeg,,,
116576,מחבר כפול 110 ללא מעצור,אביזרי שקע-תקע,ליפסקי,,,,תצורה: כפול | DN: 110,Double socket DN110 without stop,Insertion Accessories,🔌,116576.jpeg,,,
116581,מצרה 110/50,אביזרי שקע-תקע,ליפסקי,,,,DN: 110/50,Eccentric reducer DN110/50,Insertion Accessories,🔌,116581.jpeg,,,
116589,מסעף 90° תבריג 32/32,אביזרי תבריג,ליפסקי,,,,זווית: 90° | DN: 32/32,Branch 90° Screw-on DN32/32,Screw-on Accessories,🔩,116689.jpeg,,,
116591,ברך 45° 50,ברכיים,ליפסקי,,,,זווית: 45° | DN: 50,45° Bend DN50,Bends,↩️,116591.jpeg,,,
116593,צינור הכנסה אפור,צינורות אפורות,ליפסקי,,,,DN: 40 | L (cm): 400,Smooth pipe DN40 L=400cm,Pipes,📏,116593.jpeg,,,
116601,ברך 87° 50,ברכיים,ליפסקי,,,,זווית: 87° | DN: 50,87° Bend DN50,Bends,↩️,116601.jpeg,,,
116603,"צינור אפור DN40 L=50 ס""מ",צינורות,ליפסקי,,,,DN: 40 | L (cm): 50,Grey pipe DN40 L=50cm,Pipes,📏,116603.jpeg,,,
116606,"צינור אפור DN40 L=100 ס""מ",צינורות,ליפסקי,,,,DN: 40 | L (cm): 100,Grey pipe DN40 L=100cm,Pipes,📏,116606.jpeg,,,
116610,"צינור אפור DN50 L=50 ס""מ",צינורות,ליפסקי,,,,DN: 50 | L (cm): 50,Grey pipe DN50 L=50cm,Pipes,📏,116610.jpeg,,,
116612,"צינור אפור DN75 L=50 ס""מ",צינורות,ליפסקי,,,,DN: 75 | L (cm): 50,Grey pipe DN75 L=50cm,Pipes,📏,116612.jpeg,,,
116617,"צינור אפור DN110 L=25 ס""מ",צינורות אפורות,ליפסקי,,,,DN: 110 | L (cm): 25,Grey pipe DN110 L=25cm,Pipes,📏,116617.jpeg,,,
116620,"צינור אפור DN110 L=50 ס""מ",צינורות אפורות,ליפסקי,,,,DN: 110 | L (cm): 50,Grey pipe DN110 L=50cm,Pipes,📏,116620.jpeg,,,
116622,"צינור אפור DN110 L=200 ס""מ",צינורות אפורות,ליפסקי,,,,DN: 110 | L (cm): 200,Grey pipe DN110 L=200cm,Pipes,📏,116622.jpeg,,,
116624,ברך 87° 40,ברכיים,ליפסקי,,,,זווית: 87° | DN: 40,87° Bend DN40,Bends,↩️,116624.jpeg,,,
116628,פקק שקע-תקע 110,פקקים וצינורות,ליפסקי,,,,DN: 110,Insertion plug DN110,Couplers & Pipes,⚫,116628.jpeg,,,
116632,"מחסום (סיפון) 1.25"" לכיור רחצה",מחסומים גלויים,ליפסקי,,,,ייעוד: לכיור רחצה | תיאור: קיים גם בשרשורי | הערה: *קיים גם בשרשורי | צבע: לבן,"1.25"" Bottle trap",Visible Traps,🚰,116632.jpeg,,,
116635,"אביק לאמבטיה 1.5""",מחסומים גלויים,ליפסקי,,,,"ייעוד: לאמבטיה | אורך הצינור השרשורי: 565 מ""מ | תיאור: אביק לאמבט 1.5"" | מק""ט פיה: NO.116635 | תרשים: 65, Ø70, Ø40, 80, אורך הצינור השרשורי 565 מ""מ","1.5"" Bath waste and overflow",Visible Traps,🚰,116635.jpeg,,,
116638,מאסף רצפה 130/50 מערכת B,מאספי רצפה,ליפסקי,,,,DN: 130/50,Floor collector 130/50,Collectors & Drains,🕳️,116638.jpeg,,,
116640,"מאסף רצפה B נפילה 2""",מאספי רצפה,ליפסקי,,,,DN: 130/50,Floor collector 130/50 with vertical outlet 50°,Collectors & Drains,🕳️,116640.jpeg,,,
116649,"מחסום (סיפון) 2"" לכיור מטבח בודד (מס. 1)",מחסומים גלויים,ליפסקי,,,,"תצורה: בודד | ייעוד: לכיור מטבח | מק""ט: NO.116649 | צבע: לבן | תיאור: מחסום (סיפון) 2"" לכיור מטבח בודד (מס. 1) | הערה: *קיים גם בשרשורי","2"" Bottle trap for single sink 2"" Bottle trap with",Visible Traps,🚰,116649.jpeg,,,
116652,"מחסום (סיפון) 2"" לכיור מטבח כפול *עם אפשרות כניסה למדיח כלים/מכונת כביסה (מס. 3)",מחסומים גלויים,ליפסקי,,,,"תצורה: כפול | ייעוד: לכיור מטבח | מק""ט: NO.116652 | צבע: לבן | תיאור: מחסום (סיפון) 2"" לכיור מטבח כפול *עם אפשרות כניסה למדיח כלים/מכונת כביסה (מס. 3)","2"" Bottle trap for double sink with dishwasher/ washing machine outlet",Visible Traps,🚰,116652.jpeg,,,
116656,ברך 90° תבריג כפול 32/32,אביזרי תבריג,ליפסקי,,,,זווית: 90° | תצורה: כפול | DN: 32/32,Band 90° Double Screw-on DN32/32,Screw-on Accessories,🔩,116656.jpeg,,,
116659,ברך 90° תבריג כפול 50/50,אביזרי תבריג,ליפסקי,,,,זווית: 90° | תצורה: כפול | DN: 50/50,Band 90° Double Screw-on DN110/110,Screw-on Accessories,🔩,116659.jpeg,,,
116661,ברך 90° תבריג כפול 32/50,אביזרי תבריג,ליפסקי,,,,זווית: 90° | תצורה: כפול | DN: 32/50,Band 90° Double Screw-on DN50/50,Screw-on Accessories,🔩,116661.jpeg,,,
116663,ברך 90° תבריג כפול 40/50,אביזרי תבריג,ליפסקי,,,,זווית: 90° | תצורה: כפול | DN: 40/50,Band 90° Double Screw-on DN75/75,Screw-on Accessories,🔩,116663.jpeg,,,
116666,ברך 45° תבריג כפול 50/50,אביזרי תבריג,ליפסקי,,,,זווית: 45° | תצורה: כפול | DN: 50/50,Band 45° Double Screw-on DN110/110,Screw-on Accessories,🔩,116666.jpeg,,,
116668,ברך 45° תבריג כפול 32/32,אביזרי תבריג,ליפסקי,,,,זווית: 45° | תצורה: כפול | DN: 32/32,Band 45° Double Screw-on DN32/32,Screw-on Accessories,🔩,116668.jpeg,,,
116670,ברך 45° תבריג כפול 40/50,אביזרי תבריג,ליפסקי,,,,זווית: 45° | תצורה: כפול | DN: 40/50,Band 45° Double Screw-on DN75/75,Screw-on Accessories,🔩,116670.jpeg,,,
116672,מחבר כפול תבריג 40/40,אביזרי תבריג,ליפסקי,,,,תצורה: כפול | DN: 40/40,Double Connector Screw-on DN40/40,Screw-on Accessories,🔩,116672.jpeg,,,
116675,מחבר כפול תבריג 50/50,אביזרי תבריג,ליפסקי,,,,תצורה: כפול | DN: 50/50,Double Connector Screw-on DN50/50,Screw-on Accessories,🔩,116675.jpeg,,,
116677,מצרה תבריג 40/32,אביזרי תבריג,ליפסקי,,,,DN: 40/32,Screw-on Reducer DN32/32,Screw-on Accessories,🔩,116677.jpeg,,,
116680,מצרה תבריג 50/32,אביזרי שקע-תקע,ליפסקי,,,,DN: 50/32,Eccentric reducer 50/40,Insertion Accessories,🔌,116680.jpeg,,,
116682,מסעף 90° תבריג 40/40,אביזרי תבריג,ליפסקי,,,,זווית: 90° | DN: 40/40,Branch 90° Screw-on DN50/40/50,Screw-on Accessories,🔩,116682.jpeg,,,
116684,מסעף 90° תבריג 50/50,מסעפים וחיבורי אסלה,ליפסקי,,,,זווית: 90° | DN: 50/50,Branch 90° DN110 screw-on Includes 3 nuts and 3 seals,Branches & WC Conn.,⑂,116684.jpeg,,,
116687,מסעף 90° תבריג 50/40,אביזרי תבריג,ליפסקי,,,,זווית: 90° | DN: 50/40,Branch 90° Screw-on DN50/50/50,Screw-on Accessories,🔩,116687.jpeg,,,
116689,מסעף 90° - תבריג,אביזרי תבריג,ליפסקי,,,,זווית: 90° | DN: 40,Branch 90° Screw-on DN40/40/40,Screw-on Accessories,🔩,116689.jpeg,,,
116700,מושב אסלה מס. 3 לבן,מושבי אסלה,ליפסקי,,,,תיאור: מושב אסלה מס.3.0,Toilet seat no.3 - white,Toilet Seats,🚽,116700.jpeg,,,
116703,מושב אסלה מס. 3 פרגמון,מושבי אסלה,ליפסקי,,,,תיאור: מושב אסלה מס.3.0,Toilet seat no.3 - travertine,Toilet Seats,🚽,116703.jpeg,,,
116709,מושב אסלה מס. 3 אפור,מושבי אסלה,ליפסקי,,,,תיאור: מושב אסלה מס.3.0,Toilet seat no.3 - grey,Toilet Seats,🚽,116709.jpeg,,,
116712,מושב אסלה מס. 5 לבן,מושבי אסלה,ליפסקי,,,,משטח גבוה: 216 | תיאור: מושב אסלה מס.5,Toilet seat no.5 - white,Toilet Seats,🚽,116712.jpeg,,,
116716,מושב אסלה מס. 5 פרגמון,מושבי אסלה,ליפסקי,,,,משטח גבוה: 216 | תיאור: מושב אסלה מס.5,Toilet seat no.5 - travertine,Toilet Seats,🚽,116716.jpeg,,,
116722,מושב אסלה מס. 5 אפור,מושבי אסלה,ליפסקי,,,,משטח גבוה: 216 | תיאור: מושב אסלה מס.5,Toilet seat no.5 - grey,Toilet Seats,🚽,116722.jpeg,,,
116792,מיכל הדחה טופז לבן,התקנה נמוכה,ליפסקי,,,,"תכולה: 4.5/9 ליטר | גובה: 35 ס""מ | רוחב: 44 ס""מ | עומק: 14 ס""מ",Topaz dual quantity toilet tank - white,Low Installation,🔻,116792.jpeg,,,
116795,מיכל הדחה טופז פרגמון,התקנה נמוכה,ליפסקי,,,,"תכולה: 4.5/9 ליטר | גובה: 35 ס""מ | רוחב: 44 ס""מ | עומק: 14 ס""מ",Topaz dual quantity toilet tank - travertine,Low Installation,🔻,116795.jpeg,,,
116798,מיכל הדחה טופז אפור,התקנה נמוכה,ליפסקי,,,,"תכולה: 4.5/9 ליטר | גובה: 35 ס""מ | רוחב: 44 ס""מ | עומק: 14 ס""מ",Topaz dual quantity toilet tank - grey,Low Installation,🔻,116798.jpeg,,,
